Report Run Date,Project,Project State,ID,Type,Summary,State,Responsible User,All Content Count,Total number of requirements,Specified Requirements,Accepted  Requirements,Rejected Requirements,Deleted Requirements,Customer /Supplier - Accepted Requirements,"Req upstream traceability count - Decomposed From""""","Req upstream traceability count-Decomposed From"" / ""Defined By""""","Acc Req downstream traceability count-Decomposes To""""",Acc req - SW relevant,Acc Req - HW relevant,Acc Req - ME relevant,Acc Downstream traceability count - SW relevant,Acc Downstream traceability count - HW relevant,Acc Downstream traceability count - ME relevant,"Acc Req downstream traceability count-Satisfied By"" / ""Modelled By""""",Req test traceability count,Req test pass count,Total number of requirements (Functional),Accepted Requirements (Functional),"Req upstream traceability count-Decomposed From"" / ""Defined By"" (Functional)""","Acc Req downstream traceability count-Decomposes To"" (Functional)""","Acc Req downstream traceability count-Satisfied By"" / ""Modelled By""(Functional)""",ASIL Determined Requirements,Total number of requirements - (Safety Relevant),Accepted  Requirements (Safety Relevant),Rejected Requirements (Safety Relevant),"Req upstream traceability count-Decomposed From"" / ""Defined By(Safety Relevant)""","Acc Req downstream traceability count-Decomposes To"" (Safety Relevant)""","Acc Req downstream traceability count-Satisfied By"" / ""Modelled By""(Safety Relevant)""",Allocated Requirements,Planned For Variants ( >0 ),No of RQ mapped to release name,Req having Spawns relationship count,Document Churn from Initial Baseline,Last Week Document Churn,Reused Count,Stability
04.07.2019  2:48:00 PM,,ALM_Active,130932,RQ L3 Doc,,ALM_Restricted,,648,158,0,158,0,164,0,157,157,22,158,0,0,22,0,0,11,0,0,81,81,81,10,0,154,71,71,0,71,4,7,158,0,0,0,"2,424",0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,130971,RQ L3 Doc,,ALM_Open,,115,53,0,50,0,10,0,52,52,50,0,0,0,0,0,0,50,50,23,25,23,25,23,23,53,11,11,0,11,11,11,53,1,0,52,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,131529,RQ L1sw Doc,,ALM_Restricted,,26,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,131923,RQ L3 Doc,,ALM_Restricted,,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,132081,RQ L1sw Doc,,ALM_Open,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,132276,RQ L1sw Doc,,ALM_Restricted,,1230,491,33,0,1,402,0,125,125,0,0,0,0,0,0,0,0,158,132,352,0,118,0,0,0,0,0,0,0,0,0,31,0,0,145,0,115,0,0.446028513
04.07.2019  2:48:00 PM,,ALM_Active,132627,RQ L3 Doc,,ALM_Restricted,,24,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,132973,RQ L1sw Doc,,ALM_Restricted,,659,464,4,455,0,98,0,461,461,81,0,0,0,0,0,0,287,182,137,180,173,177,71,164,461,363,357,0,363,70,239,0,0,0,167,0,4,0,0.987068966
04.07.2019  2:48:00 PM,,ALM_Active,134701,RQ L1sw Doc,,ALM_Restricted,,558,337,17,6,0,0,0,18,18,0,0,0,0,0,0,0,0,102,73,157,6,18,0,0,1,1,0,0,1,0,0,0,0,0,9,0,0,69,1
04.07.2019  2:48:00 PM,,ALM_Active,134745,RQ L2 Doc,,ALM_Open,,89,45,4,0,0,3,0,8,8,0,0,0,0,0,0,0,0,0,0,42,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,134784,RQ L3 Doc,,ALM_Restricted,,137,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
04.07.2019  2:48:00 PM,,ALM_Active,134823,RQ L1sw Doc,,ALM_Restricted,,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,134862,RQ L1sw Doc,,ALM_Restricted,,47,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,134952,RQ L1sw Doc,,ALM_Restricted,,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,138340,RQ L3 Doc,,ALM_Restricted,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,139519,RQ L1sw Doc,,ALM_Restricted,,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,145377,RQ L1sw Doc,,ALM_Restricted,,121,47,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,43,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
04.07.2019  2:48:00 PM,,ALM_Active,166409,RQ L1sw Doc,,ALM_Restricted,,57,31,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,29,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
04.07.2019  2:48:00 PM,,ALM_Active,166462,RQ L1sw Doc,,ALM_Restricted,,34,14,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
04.07.2019  2:48:00 PM,,ALM_Active,331913,RQ L1sw Doc,,ALM_Restricted,,87,42,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,1,0,42,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
04.07.2019  2:48:00 PM,,ALM_Active,332096,RQ L1sw Doc,,ALM_Restricted,,40,19,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
04.07.2019  2:48:00 PM,,ALM_Active,332174,RQ L1sw Doc,,ALM_Restricted,,56,31,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,8,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
04.07.2019  2:48:00 PM,,ALM_Active,332462,RQ L1sw Doc,,ALM_Restricted,,39,14,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
04.07.2019  2:48:00 PM,,ALM_Active,333528,RQ L1sw Doc,,ALM_Restricted,,51,21,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
04.07.2019  2:48:00 PM,,ALM_Active,374627,RQ L1sw Doc,,ALM_Open,,52,25,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
04.07.2019  2:48:00 PM,,ALM_Active,446817,IN Edit Doc,,ALM_Open,,320,150,0,150,59,1,205,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,184,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447648,IN Edit Doc,,ALM_Open,,106,73,3,70,1,7,66,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,73,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447651,IN Edit Doc,,ALM_Open,,109,81,0,81,0,0,78,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,76,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447654,IN Edit Doc,,ALM_Open,,20,15,0,15,0,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447655,IN Edit Doc,,ALM_Open,,18,11,0,11,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447656,IN Edit Doc,,ALM_Open,,334,226,1,225,8,4,231,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,227,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447657,IN Edit Doc,,ALM_Open,,58,25,0,25,10,2,31,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,33,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447658,IN Edit Doc,,ALM_Open,,321,234,1,233,3,7,219,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,2,0,0,237,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447659,IN Edit Doc,,ALM_Open,,100,57,3,54,4,10,46,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,55,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447660,IN Edit Doc,,ALM_Open,,78,37,0,37,10,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,43,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447661,IN Edit Doc,,ALM_Open,,69,53,0,53,2,0,54,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,55,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447662,IN Edit Doc,,ALM_Open,,67,49,0,49,0,0,49,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,49,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447663,IN Edit Doc,,ALM_Open,,19,5,5,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447664,IN Edit Doc,,ALM_Open,,15,5,0,5,2,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447665,IN Edit Doc,,ALM_Open,,15,10,0,10,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447666,IN Edit Doc,,ALM_Open,,29,17,0,17,4,0,21,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447667,IN Edit Doc,,ALM_Open,,21,13,0,13,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447668,IN Edit Doc,,ALM_Open,,46,15,0,15,5,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,16,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447669,IN Edit Doc,,ALM_Open,,56,31,0,31,1,0,32,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,31,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447670,IN Edit Doc,,ALM_Open,,56,31,0,31,0,0,31,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,31,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447671,IN Edit Doc,,ALM_Open,,18,6,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447672,IN Edit Doc,,ALM_Open,,65,36,1,35,6,0,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447673,IN Edit Doc,,ALM_Open,,50,33,0,33,2,0,35,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,33,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447674,IN Edit Doc,,ALM_Open,,43,25,0,25,4,0,29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,26,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447675,IN Edit Doc,,ALM_Open,,57,29,0,29,3,0,32,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,29,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447676,IN Edit Doc,,ALM_Open,,35,23,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,447677,IN Edit Doc,,ALM_Open,,95,62,1,61,7,0,68,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,69,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,519911,RQ L1sw Doc,,ALM_Restricted,,47,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
